nombre,descripcion,clase,potencia
pound,Inflicts regular damage with no additional effect.,1,40
karate-chop,Has an increased chance for a critical hit.,1,50
double-slap,Hits 2-5 times in one turn.,1,15
comet-punch,Hits 2-5 times in one turn.,1,18
mega-punch,Inflicts regular damage with no additional effect.,1,80
pay-day,Scatters money on the ground worth five times the user’s level.,1,40
fire-punch,Has a 10% chance to burn the target.,1,75
ice-punch,Has a 10% chance to freeze the target.,1,75
thunder-punch,Has a 10% chance to paralyze the target.,1,75
scratch,Inflicts regular damage with no additional effect.,1,40
vice-grip,Inflicts regular damage with no additional effect.,1,55
guillotine,Causes a one-hit KO.,0,0
razor-wind,Requires a turn to charge before attacking.,1,80
swords-dance,Raises the user’s Attack by two stages.,0,0
cut,Inflicts regular damage with no additional effect.,1,50
gust,Inflicts regular damage and can hit Pokémon in the air.,1,40
wing-attack,Inflicts regular damage with no additional effect.,1,60
whirlwind,Immediately ends wild battles.  Forces trainers to switch Pokémon.,0,0
fly,"User flies high into the air, dodging all attacks, and hits next turn.",1,90
bind,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,15
slam,Inflicts regular damage with no additional effect.,1,80
vine-whip,Inflicts regular damage with no additional effect.,1,45
stomp,Has a 30% chance to make the target flinch.,1,65
double-kick,Hits twice in one turn.,1,30
mega-kick,Inflicts regular damage with no additional effect.,1,120
jump-kick,"If the user misses, it takes half the damage it would have inflicted in recoil.",1,100
rolling-kick,Has a 30% chance to make the target flinch.,1,60
sand-attack,Lowers the target’s accuracy by one stage.,0,0
headbutt,Has a 30% chance to make the target flinch.,1,70
horn-attack,Inflicts regular damage with no additional effect.,1,65
fury-attack,Hits 2-5 times in one turn.,1,15
horn-drill,Causes a one-hit KO.,0,0
tackle,Inflicts regular damage with no additional effect.,1,40
body-slam,Has a 30% chance to paralyze the target.,1,85
wrap,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,15
take-down,User receives 1/4 the damage it inflicts in recoil.,1,90
thrash,"Hits every turn for 2-3 turns, then confuses the user.",1,120
double-edge,User receives 1/3 the damage inflicted in recoil.,1,120
tail-whip,Lowers the target’s Defense by one stage.,0,0
poison-sting,Has a 30% chance to poison the target.,1,15
twineedle,Hits twice in the same turn.  Has a 20% chance to poison the target.,1,25
pin-missile,Hits 2-5 times in one turn.,1,25
leer,Lowers the target’s Defense by one stage.,0,0
bite,Has a 30% chance to make the target flinch.,1,60
growl,Lowers the target’s Attack by one stage.,0,0
roar,Immediately ends wild battles.  Forces trainers to switch Pokémon.,0,0
sing,Puts the target to sleep.,0,0
supersonic,Confuses the target.,0,0
sonic-boom,Inflicts 20 points of damage.,0,0
disable,Disables the target’s last used move for 1-8 turns.,0,0
acid,Has a 10% chance to lower the target’s Special Defense by one stage.,1,40
ember,Has a 10% chance to burn the target.,1,40
flamethrower,Has a 10% chance to burn the target.,1,90
mist,Protects the user’s stats from being changed by enemy moves.,0,0
water-gun,Inflicts regular damage with no additional effect.,1,40
hydro-pump,Inflicts regular damage with no additional effect.,1,110
surf,Inflicts regular damage and can hit Dive users.,1,90
ice-beam,Has a 10% chance to freeze the target.,1,90
blizzard,Has a 10% chance to freeze the target.,1,110
psybeam,Has a 10% chance to confuse the target.,1,65
bubble-beam,Has a 10% chance to lower the target’s Speed by one stage.,1,65
aurora-beam,Has a 10% chance to lower the target’s Attack by one stage.,1,65
hyper-beam,User foregoes its next turn to recharge.,1,150
peck,Inflicts regular damage with no additional effect.,1,35
drill-peck,Inflicts regular damage with no additional effect.,1,80
submission,User receives 1/4 the damage it inflicts in recoil.,1,80
low-kick,"Inflicts more damage to heavier targets, with a maximum of 120 power.",0,0
counter,Inflicts twice the damage the user received from the last physical hit it took.,0,0
seismic-toss,Inflicts damage equal to the user’s level.,0,0
strength,Inflicts regular damage with no additional effect.,1,80
absorb,Drains half the damage inflicted to heal the user.,1,20
mega-drain,Drains half the damage inflicted to heal the user.,1,40
leech-seed,"Seeds the target, stealing HP from it every turn.",0,0
growth,Raises the user’s Attack and Special Attack by one stage.,0,0
razor-leaf,Has an increased chance for a critical hit.,1,55
solar-beam,Requires a turn to charge before attacking.,1,120
poison-powder,Poisons the target.,0,0
stun-spore,Paralyzes the target.,0,0
sleep-powder,Puts the target to sleep.,0,0
petal-dance,"Hits every turn for 2-3 turns, then confuses the user.",1,120
string-shot,Lowers the target’s Speed by two stages.,0,0
dragon-rage,Inflicts 40 points of damage.,0,0
fire-spin,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,35
thunder-shock,Has a 10% chance to paralyze the target.,1,40
thunderbolt,Has a 10% chance to paralyze the target.,1,90
thunder-wave,Paralyzes the target.,0,0
thunder,Has a 30% chance to paralyze the target.,1,110
rock-throw,Inflicts regular damage with no additional effect.,1,50
earthquake,Inflicts regular damage and can hit Dig users.,1,100
fissure,Causes a one-hit KO.,0,0
dig,"User digs underground, dodging all attacks, and hits next turn.",1,80
toxic,"Badly poisons the target, inflicting more damage every turn.",0,0
confusion,Has a 10% chance to confuse the target.,1,50
psychic,Has a 10% chance to lower the target’s Special Defense by one stage.,1,90
hypnosis,Puts the target to sleep.,0,0
meditate,Raises the user’s Attack by one stage.,0,0
agility,Raises the user’s Speed by two stages.,0,0
quick-attack,Inflicts regular damage with no additional effect.,1,40
rage,"If the user is hit after using this move, its Attack rises by one stage.",1,20
teleport,Immediately ends wild battles.  No effect otherwise.,0,0
night-shade,Inflicts damage equal to the user’s level.,0,0
mimic,Copies the target’s last used move.,0,0
screech,Lowers the target’s Defense by two stages.,0,0
double-team,Raises the user’s evasion by one stage.,0,0
recover,Heals the user by half its max HP.,0,0
harden,Raises the user’s Defense by one stage.,0,0
minimize,Raises the user’s evasion by two stages.,0,0
smokescreen,Lowers the target’s accuracy by one stage.,0,0
confuse-ray,Confuses the target.,0,0
withdraw,Raises the user’s Defense by one stage.,0,0
defense-curl,Raises user’s Defense by one stage.,0,0
